index_redacao,score,pred_total
0,200,240
1,200,360
2,200,460
3,240,300
4,520,120
5,80,280
6,80,360
7,120,400
8,160,300
9,160,200
10,240,480
11,240,520
12,240,400
13,240,280
14,240,280
15,280,240
16,280,280
17,320,560
18,320,280
19,320,80
20,320,260
21,320,380
22,320,360
23,320,360
24,320,200
25,320,440
26,360,180
27,360,280
28,400,200
29,400,160
30,400,280
31,400,400
32,400,280
33,400,240
34,400,280
35,400,360
36,400,200
37,400,200
38,400,280
39,400,400
40,400,560
41,400,600
42,400,400
43,400,380
44,400,400
45,400,340
46,400,400
47,400,360
48,400,200
49,400,320
50,400,360
51,440,160
52,440,240
53,440,260
54,440,280
55,440,280
56,440,360
57,440,280
58,480,360
59,480,240
60,480,520
61,480,360
62,480,200
63,480,300
64,480,200
65,480,360
66,520,100
67,520,280
68,520,460
69,520,200
70,520,320
71,520,240
72,520,520
73,560,200
74,560,560
75,560,400
76,560,360
77,600,520
78,600,260
79,680,380
80,680,260
81,200,80
82,200,320
83,240,200
84,240,160
85,240,280
86,280,200
87,280,520
88,360,200
89,360,380
90,360,440
91,360,400
92,360,480
93,360,160
94,360,240
95,360,280
96,360,360
97,400,360
98,400,280
99,400,380
100,400,400
101,400,280
102,400,600
103,400,420
104,400,200
105,400,160
106,400,600
107,400,160
108,400,360
109,400,280
110,400,420
111,400,320
112,400,280
113,400,280
114,400,320
115,400,360
116,440,280
117,440,520
118,440,420
119,440,200
120,440,100
121,440,360
122,440,320
123,440,360
124,440,300
125,440,360
126,440,200
127,440,280
128,440,160
129,440,320
130,440,200
131,440,160
132,440,360
133,440,380
134,440,320
135,440,340
136,440,200
137,440,280
138,440,360
139,440,560
140,440,280
141,440,520
142,440,360
143,440,420
144,440,480
145,440,360
146,440,280
147,440,280
148,440,160
149,440,400
150,440,420
151,480,280
152,480,360
153,480,400
154,480,400
155,480,420
156,480,160
157,480,240
158,480,480
159,480,240
160,480,220
161,480,520
162,480,340
163,480,560
164,480,400
165,480,200
166,480,200
167,480,280
168,480,240
169,480,240
170,480,360
171,480,240
172,480,320
173,480,520
174,480,440
175,480,320
176,480,400
177,480,320
178,480,260
179,480,200
180,480,280
181,480,280
182,480,200
183,480,400
184,480,340
185,480,480
186,480,140
187,480,560
188,480,280
189,480,360
190,480,360
191,480,240
192,480,380
193,480,360
194,480,480
195,480,480
196,520,240
197,520,160
198,520,240
199,520,240
200,520,180
201,520,460
202,520,200
203,520,280
204,520,360
205,520,380
206,520,280
207,520,520
208,520,280
209,520,440
210,520,360
211,520,280
212,520,300
213,520,200
214,520,200
215,520,340
216,520,280
217,520,260
218,520,240
219,520,400
220,520,400
221,520,240
222,520,460
223,520,240
224,520,360
225,520,340
226,520,160
227,520,280
228,520,200
229,520,320
230,520,400
231,520,200
232,520,360
233,520,160
234,520,420
235,520,200
236,520,360
237,520,360
238,520,200
239,520,300
240,520,240
241,520,520
242,520,240
243,520,400
244,520,440
245,520,400
246,520,360
247,520,280
248,520,400
249,520,260
250,520,440
251,520,320
252,520,240
253,520,360
254,520,280
255,520,520
256,520,420
257,520,320
258,520,260
259,520,200
260,520,320
261,560,280
262,560,240
263,560,300
264,560,360
265,560,240
266,560,340
267,560,280
268,560,240
269,560,440
270,560,360
